metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1993;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1993;insgesamt;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;32568;5258;1939;845;2589;15409;998;8479;16782;16745;2301;6436;2139;3119;2502
DE2;29080;-;5231;1909;707;2425;11544;836;7521;14832;5644;929;8227;2479;2902;4863
DE3;4810;5822;-;14471;527;2028;3469;1918;7614;7215;1788;323;2395;1427;3210;1105
DE4;3574;4029;10366;-;344;631;2113;2232;4742;7455;1640;218;2890;2037;1714;1049
DE5;662;733;575;149;-;1057;593;315;15129;1382;250;47;172;143;815;75
DE6;1728;1867;1687;330;627;-;1505;1196;12166;3121;530;87;371;318;21211;169
DE7;13509;13632;3273;1079;620;2087;-;583;8688;14894;16161;897;2610;1243;2527;3581
DE8;1510;1324;2569;2246;534;2919;963;-;5525;2996;646;82;1359;1302;6053;687
DE9;7404;7173;5159;1982;9918;11341;7889;2645;-;24146;3093;472;2020;5548;8544;1712
DEA;16059;16827;7499;3317;1710;5258;16175;2238;29436;-;17678;1379;5090;3878;6797;2775
DEB;12037;5202;1352;650;239;756;11838;328;2843;13001;-;3435;1472;748;1053;1011
DEC;2533;1318;425;151;127;172;1091;69;677;1607;4105;-;304;197;216;182
DED;9769;12511;2711;3264;224;534;3930;1294;3812;6417;2755;233;-;3141;761;3206
DEE;3207;3635;1811;1828;380;442;2219;1113;9352;5664;1458;145;2630;-;776;2204
DEF;3719;4286;2080;1209;1426;18235;3082;3699;12724;11665;2063;434;616;594;-;276
DEG;3931;7309;1178;844;100;230;5344;579;2884;3660;1753;168;2937;1796;337;-
