metadatakeys;type;timeunit;time;‹¯¨Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;2021;Metadaten(Werte);Binnenwanderungen;BundeslÇÏnder;Jahr;2021;insgesamt;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;38217;7459;2120;864;3391;16788;1577;8299;18715;16252;1830;4922;1837;3024;2433
DE2;35862;-;9020;2507;889;3561;13343;1767;8264;18025;5440;1050;7575;2328;3295;4960
DE3;5178;6796;-;35430;698;2358;3333;3852;5252;7352;1559;293;3861;2663;2542;1376
DE4;1791;2247;16951;-;223;689;1116;3722;2431;3087;608;124;4186;2653;1170;955
DE5;914;870;786;191;-;1140;561;244;13824;1881;261;47;325;152;841;119
DE6;2600;3026;3325;705;941;-;1734;2250;14858;4816;765;127;965;488;25450;387
DE7;15919;15711;4898;1293;736;2485;-;1092;8322;17705;16899;936;2755;1186;2704;2952
DE8;1146;1385;2392;2402;343;1821;799;-;2702;2303;389;63;1447;940;3156;532
DE9;8138;9036;5889;2394;10664;11519;8001;3275;-;30612;3162;574;3347;5098;8655;2602
DEA;17651;18861;10507;2856;2226;6302;17112;2614;33460;-;18097;1613;4432;2683;6489;2608
DEB;14541;5524;1967;678;302;959;15104;607;3194;17009;-;4729;1221;574;1149;769
DEC;1760;996;421;132;64;174;984;85;566;1746;4466;-;202;118;184;134
DED;3810;6073;3947;4098;351;997;2429;1754;3028;4608;1061;203;-;6189;1081;4814
DEE;1603;2075;2295;2107;238;673;1267;1201;4973;3201;615;128;5838;-;784;2529
DEF;2430;2592;1974;957;821;16396;1814;3978;8456;5185;867;151;945;739;-;478
DEG;2196;4887;1471;870;126;647;2932;942;2571;3470;724;135;5632;2673;621;-
