metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;1995;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;1995;m�nnlich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;18554;3108;1330;394;1169;8049;610;3949;8928;9020;1280;3896;1150;1622;1502
DE2;14808;-;2945;1265;337;1139;6055;466;3516;7554;2525;428;4882;1223;1413;2418
DE3;2530;3268;-;14263;265;841;1721;1082;3244;3518;731;131;1620;887;1614;596
DE4;1330;1797;6629;-;192;312;848;1539;1960;2475;716;105;1916;1285;923;471
DE5;409;410;329;103;-;458;305;168;7363;867;113;25;133;107;496;62
DE6;1014;1024;1095;276;346;-;813;755;6778;1726;305;45;260;164;10903;88
DE7;7075;6929;1921;674;332;917;-;332;4125;7319;7399;461;1684;753;1223;1854
DE8;662;667;1358;1156;323;1228;349;-;2352;1249;243;28;690;494;2849;303
DE9;6138;7764;3109;2005;6000;5451;8329;2084;-;19993;3244;539;2135;4241;5862;1424
DEA;8864;8745;4478;1958;944;2430;8481;1461;14891;-;9146;662;3120;2216;3435;1597
DEB;6424;2712;803;371;144;325;6239;200;1476;7063;-;1753;969;388;546;452
DEC;1374;694;226;107;68;93;635;44;280;987;2056;-;149;84;94;78
DED;4001;5489;1788;1937;132;261;1674;619;1677;2924;894;151;-;2177;468;1774
DEE;1537;1807;1054;1068;133;260;1094;578;4547;2713;602;93;1887;-;573;1245
DEF;1915;2456;1408;723;797;10396;1604;2503;6296;4861;1053;173;598;563;-;251
DEG;1999;3409;673;471;69;117;2309;290;1203;1794;651;80;1888;1120;224;-
