metadatakeys;type;timeunit;time;﻿Metadaten(Kategorien);Inhalt;Bezugsraum;Zeitraum;Zeitraumbezogen;Geschlecht;;;;;;;
metadatavalues;movement;year;2021;Metadaten(Werte);Binnenwanderungen;Bundesländer;Jahr;2021;weiblich;;;;;;;
;DE1;DE2;DE3;DE4;DE5;DE6;DE7;DE8;DE9;DEA;DEB;DEC;DED;DEE;DEF;DEG
DE1;-;18353;3762;1036;420;1738;8234;790;4116;9072;8024;904;2361;887;1524;1170
DE2;17253;-;4365;1179;419;1825;6396;874;3984;8540;2591;477;3522;1066;1674;2362
DE3;2612;3262;-;17746;367;1240;1622;1990;2666;3617;762;134;1927;1320;1363;686
DE4;873;1049;8258;-;106;335;555;1957;1221;1471;294;58;2172;1325;593;485
DE5;425;385;376;88;-;577;286;119;7081;937;133;22;163;72;432;56
DE6;1338;1482;1711;344;465;-;848;1112;7508;2436;380;67;449;224;12983;178
DE7;7866;7489;2509;660;372;1293;-;569;4097;8879;8481;468;1346;586;1423;1492
DE8;548;618;1185;1242;167;885;369;-;1308;1110;175;30;715;475;1628;276
DE9;3951;4271;3000;1163;5197;5857;4034;1677;-;15603;1601;295;1637;2477;4523;1288
DEA;8480;8748;5290;1375;1115;3260;8483;1248;17034;-;9103;809;2123;1247;3389;1210
DEB;7118;2612;992;347;150;470;7718;284;1577;8623;-;2418;599;279;556;388
DEC;891;472;218;69;38;87;516;45;293;869;2318;-;87;49;96;59
DED;1865;2754;1933;2060;173;503;1169;942;1479;2167;473;88;-;3107;546;2450
DEE;774;928;1140;1131;108;303;586;633;2428;1528;280;50;2992;-;386;1312
DEF;1198;1237;1047;487;411;8275;950;2009;4428;2659;429;70;474;347;-;247
DEG;1035;2418;726;437;54;331;1488;479;1301;1665;365;64;2920;1346;297;-
